id	frequency	en	pos	es	nl
1	6187267	the	det	el	de
2	4239632	be	v	ser	worden
3	3093444	of	prep	de	van
4	2687863	and	conj	y	en
5	2186369	a	det	un	een
6	1924315	in	prep	en	in
7	1620850	to	infinitive-marker	a	naar
8	1375636	have	v	tener	hebben
9	1090186	it	pron	eso	het
10	1039323	to	prep	a	naar
11	887877	for	prep	para	voor
12	884599	i	pron	yo	ik
13	760399	that	conj	ese	dat
14	695498	you	pron	tú	u
15	681255	he	pron	él	hij
16	680739	on	prep	en	op
17	675027	with	prep	con	met
18	559596	do	v	hacer	do
19	534162	at	prep	a	op
20	517171	by	prep	por	door
21	465486	not	adv	no	niet
22	461945	this	det	esta	deze
23	459622	but	conj	pero	maar
24	434532	from	prep	de	van
25	433441	they	pron	ellos	ze
26	426896	his	det	su	zijn
27	384313	that	det	ese	dat
28	380257	she	pron	ella	ze
29	373808	or	conj	o	of
30	372031	which	det	cual	welke
31	364164	as	conj	como	als
32	358039	we	pron	nosotros	wij
33	343063	an	det	un	een
34	333518	say	v	decir	zeggen
35	297281	will	modal	será	zullen
36	272345	would	modal	haría	zou
37	266116	can	modal	poder	kan
38	261089	if	conj	Si	als
39	260919	their	det	su	hun
40	249540	go	v	ir	Gaan
41	249466	what	det	qué	wat
42	239460	there	pron	ahí	er
43	230737	all	det	todas	alle
44	220940	get	v	obtener	krijgen
45	218258	her	det	su	haar
46	217268	make	v	hacer	maken
47	205432	who	pron	quien	wie
48	201968	as	prep	como	als
49	201819	out	adv	fuera	uit
50	195426	up	adv	arriba	omhoog
51	191661	see	v	ver	zien
52	185534	know	v	saber	weten
53	183427	time	n	hora	tijd
54	179220	take	v	tomar	nemen
55	173414	them	pron	ellos	hen
56	171174	some	det	algunos	sommige
57	168387	could	modal	podría	kon
58	167324	so	adv	asi que	zo
59	165014	him	pron	él	hem
60	163930	year	n	año	jaar
61	163469	into	prep	dentro	in
62	163081	its	det	sus	haar
63	160652	then	adv	entonces	dan
64	153881	think	v	pensar	denken
65	152619	my	det	mi	mijn
66	151871	come	v	ven	komen
67	147618	than	conj	que	dan
68	146029	more	adv	Más	meer
69	144554	about	prep	acerca de	over
70	143801	now	adv	ahora	nu
71	140063	last	a	último	laatste
72	138334	your	det	tu	jouw
73	138151	me	pron	yo	me
74	137026	no	det	no	Nee
75	135185	other	a	otro	anders
76	131417	give	v	dar	geven
77	128517	just	adv	sólo	net
78	128393	should	modal	debería	moeten
79	125442	these	det	estas	deze
80	125430	people	n	gente	mensen
81	124884	also	adv	además	ook
82	124451	well	adv	bien	goed
83	123655	any	det	alguna	ieder
84	122128	only	adv	solamente	enkel en alleen
85	115523	new	a	nuevo	nieuwe
86	114911	very	adv	muy	heel
87	113655	when	conj	cuando	wanneer
88	113024	may	modal	mayo	mei
89	112636	way	n	camino	manier
90	111058	look	v	Mira	kijken
91	110090	like	prep	me gusta	graag willen
92	108820	use	v	utilizar	gebruik
93	108710	her	pron	su	haar
94	108524	such	det	tal	zodanig
95	103508	how	adv	cómo	hoe
96	103003	because	conj	porque	omdat
97	102621	when	adv	cuando	wanneer
98	101583	as	adv	como	als
99	100652	good	a	bueno	goed
100	98899	find	v	encontrar	vind
101	97985	man	n	hombre	man
102	95001	our	det	nuestra	onze
103	94293	want	v	querer	willen
104	92699	day	n	día	dag
105	91141	between	prep	Entre	tussen
106	90473	even	adv	incluso	zelfs
107	89890	there	adv	ahí	er
108	89659	many	det	muchos	veel
109	88862	those	det	aquellos	die
110	86364	one	pron	uno	een
111	85939	after	prep	después	na
112	84446	down	adv	abajo	naar beneden
113	83382	yeah	interjection	sí	Ja
114	79028	so	conj	asi que	zo
115	77612	thing	n	cosa	ding
116	77245	tell	v	contar	vertellen
117	75588	through	prep	mediante	door
118	75494	back	adv	espalda	terug
119	72774	still	adv	todavía	nog steeds
120	72059	must	modal	debe	moet
121	71008	child	n	niño	kind
122	70947	here	adv	aquí	hier
123	70676	over	prep	encima	over-
124	70164	too	adv	también	te
125	69978	put	v	poner	leggen
126	69459	own	det	propio	eigen
127	68362	on	adv	en	op
128	67999	no	interjection	no	Nee
129	67842	work	v	trabajo	werk
130	67219	become	v	volverse	worden
131	67198	more	det	Más	meer
132	66999	old	a	antiguo	oud
133	66894	government	n	gobierno	regering
134	66556	mean	v	media	gemiddelde
135	65773	part	n	parte	een deel
136	64447	leave	v	salir	het verlof
137	64423	life	n	vida	leven
138	64369	great	a	estupendo	Super goed
139	64118	where	adv	dónde	waar
140	63577	case	n	caso	geval
